respondent_id,hub_id,hub_name,age_group,household_type,ethnicity,user_archetype,visit_frequency_monthly,activity_types_count,recruited_by_volunteer,resident_in_catchment,awareness_of_programmes,perceived_accessibility,perceived_safety,q1_belong_here,q2_people_care,q3_place_attachment,q4_return_intent,q5_meet_diff_groups,q6_cross_group_activities,q7_diverse_interactions,q8_mutual_aid_across_groups,q9_understand_governance,q10_can_raise_concerns,q11_trust_hub_institutions,q12_voice_matters,bonding_score,bridging_score,linking_score,overall_sc_score,hub_type,open_year,years_since_opening,amenity_diversity,integrated_programming_ratio,partner_count,governance_openness,volunteer_density,free_community_space_ratio,outreach_intensity,avg_monthly_footfall_k,avg_dwell_minutes,transit_access,service_gap,heart_score,head_score,hands_score,cci_total
R001,H1,Our Tampines Hub,35-44,Senior household,Malay,Service user,3,4,No,Yes,3.82,4.56,4.84,4,4,4,5,4,4,5,4,3,2,3,3,4.25,4.25,2.75,3.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R002,H1,Our Tampines Hub,45-54,Single,Chinese,Senior user,7,3,No,Yes,4.86,3.33,5,5,4,4,4,3,3,4,4,5,4,5,4,4.25,3.5,4.5,4.08,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R003,H1,Our Tampines Hub,18-24,Senior household,Malay,Routine user,4,4,No,Yes,2.99,4.95,5,5,5,4,5,5,5,5,5,5,3,3,3,4.75,5,3.5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R004,H1,Our Tampines Hub,18-24,Single,Malay,Event user,7,2,No,Yes,4.6,4.99,5,5,5,5,5,5,5,4,5,4,4,4,4,5,4.75,4,4.58,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R005,H1,Our Tampines Hub,25-34,Family with children,Malay,Event user,7,3,No,No,4.58,4,4.76,5,4,4,5,4,5,5,5,4,4,4,5,4.5,4.75,4.25,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R006,H1,Our Tampines Hub,25-34,Single,Chinese,Service user,3,3,No,Yes,4.7,4.07,4.89,5,5,5,5,4,4,3,5,5,4,4,5,5,4,4.5,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R007,H1,Our Tampines Hub,18-24,Single,Indian,Service user,2,3,No,No,5,4.51,4.33,5,4,5,5,4,5,4,3,4,4,4,4,4.75,4,4,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R008,H1,Our Tampines Hub,65+,Family with children,Malay,Service user,6,3,No,Yes,4.1,4.7,4.85,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4.5,4.83,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R009,H1,Our Tampines Hub,45-54,Couple,Chinese,Family user,13,3,No,Yes,2.77,4.43,4.88,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4.5,4.83,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R010,H1,Our Tampines Hub,25-34,Family with children,Chinese,Routine user,7,3,No,Yes,4.5,5,4.24,5,5,5,5,4,4,3,4,4,4,3,3,5,3.75,3.5,4.08,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R011,H1,Our Tampines Hub,45-54,Family with children,Indian,Service user,4,3,Yes,Yes,5,3.32,5,4,4,4,4,4,5,4,4,5,5,5,5,4,4.25,5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R012,H1,Our Tampines Hub,25-34,Single,Malay,Family user,11,4,No,Yes,4.75,3.96,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.75,4.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R013,H1,Our Tampines Hub,35-44,Senior household,Chinese,Routine user,5,3,No,Yes,3.82,4.34,4.15,4,5,5,4,4,4,4,4,4,3,4,5,4.5,4,4,4.17,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R014,H1,Our Tampines Hub,65+,Couple,Chinese,Family user,5,4,No,Yes,4.28,3.64,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4.25,4.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R015,H1,Our Tampines Hub,65+,Senior household,Malay,Service user,13,1,No,Yes,2.83,5,5,5,5,5,5,3,4,4,4,5,4,4,5,5,3.75,4.5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R016,H1,Our Tampines Hub,18-24,Family with children,Chinese,Family user,8,4,No,Yes,3.85,3.94,3.96,5,5,5,5,5,5,5,5,4,3,4,4,5,5,3.75,4.58,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R017,H1,Our Tampines Hub,25-34,Family with children,Chinese,Routine user,4,3,No,Yes,4.15,4.85,4.48,5,5,5,5,5,4,4,4,3,3,4,4,5,4.25,3.5,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R018,H1,Our Tampines Hub,25-34,Couple,Chinese,Event user,6,3,Yes,Yes,3.42,4.24,5,4,4,3,4,4,4,4,5,4,4,3,4,3.75,4.25,3.75,3.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R019,H1,Our Tampines Hub,35-44,Family with children,Malay,Event user,6,5,No,Yes,3.68,3.84,4.75,5,5,5,5,4,5,5,4,4,4,3,4,5,4.5,3.75,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R020,H1,Our Tampines Hub,55-64,Couple,Chinese,Event user,6,1,No,Yes,4.08,3.9,4.75,5,5,4,5,5,5,5,5,4,5,4,5,4.75,5,4.5,4.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R021,H1,Our Tampines Hub,25-34,Single,Indian,Service user,9,4,No,Yes,4.01,4.76,5,5,5,5,5,5,5,5,4,4,5,4,4,5,4.75,4.25,4.67,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R022,H1,Our Tampines Hub,55-64,Single,Chinese,Family user,7,4,No,Yes,4.97,4.86,5,5,5,5,5,3,3,4,5,4,4,5,5,5,3.75,4.5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R023,H1,Our Tampines Hub,65+,Multi-generational,Chinese,Service user,10,5,Yes,Yes,2.85,5,5,5,5,5,5,5,5,5,4,4,4,3,4,5,4.75,3.75,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R024,H1,Our Tampines Hub,65+,Couple,Chinese,Service user,3,5,No,Yes,5,4.22,5,5,5,5,5,4,5,5,5,3,4,5,3,5,4.75,3.75,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R025,H1,Our Tampines Hub,25-34,Couple,Indian,Senior user,5,1,No,Yes,4.78,3.39,4.8,5,5,5,5,3,4,3,4,5,4,5,4,5,3.5,4.5,4.33,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R026,H1,Our Tampines Hub,35-44,Senior household,Indian,Event user,7,2,No,Yes,3.76,4.46,5,5,5,5,5,4,5,4,4,4,4,4,4,5,4.25,4,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R027,H1,Our Tampines Hub,18-24,Senior household,Chinese,Service user,6,1,Yes,Yes,5,5,4.46,5,4,5,5,4,4,3,4,5,4,5,4,4.75,3.75,4.5,4.33,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R028,H1,Our Tampines Hub,35-44,Family with children,Other,Family user,3,3,No,Yes,2.85,4.87,4.92,5,5,4,5,5,5,4,5,3,4,3,3,4.75,4.75,3.25,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R029,H1,Our Tampines Hub,45-54,Senior household,Malay,Family user,9,3,Yes,Yes,4.85,4.28,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4.5,4.83,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R030,H1,Our Tampines Hub,45-54,Senior household,Chinese,Routine user,3,4,No,Yes,5,3.7,4.81,3,3,3,4,5,4,4,4,3,4,4,4,3.25,4.25,3.75,3.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R031,H1,Our Tampines Hub,65+,Multi-generational,Chinese,Event user,11,2,No,Yes,4.64,3.75,4.82,5,5,5,5,4,4,5,5,4,4,4,4,5,4.5,4,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R032,H1,Our Tampines Hub,25-34,Senior household,Other,Family user,7,3,No,No,4.76,3.44,2.73,5,4,4,4,5,5,5,5,5,5,5,5,4.25,5,5,4.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R033,H1,Our Tampines Hub,45-54,Family with children,Malay,Routine user,5,2,No,No,4.53,4.46,5,5,5,5,4,5,5,5,4,4,3,4,3,4.75,4.75,3.5,4.33,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R034,H1,Our Tampines Hub,65+,Single,Other,Family user,4,3,No,Yes,3.75,4.45,5,4,4,5,5,4,4,4,4,4,5,5,5,4.5,4,4.75,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R035,H1,Our Tampines Hub,35-44,Family with children,Chinese,Routine user,6,3,No,Yes,4.6,4.16,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4.75,4.25,4.67,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R036,H1,Our Tampines Hub,35-44,Single,Chinese,Routine user,4,1,No,Yes,2.93,4.71,5,5,4,5,5,3,4,4,3,4,3,3,4,4.75,3.5,3.5,3.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R037,H1,Our Tampines Hub,45-54,Family with children,Indian,Routine user,5,5,No,Yes,4.76,4.46,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4.67,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R038,H1,Our Tampines Hub,45-54,Family with children,Chinese,Family user,7,1,No,Yes,4.52,4.63,4.83,5,5,5,5,4,4,4,4,4,3,4,4,5,4,3.75,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R039,H1,Our Tampines Hub,55-64,Single,Malay,Senior user,7,4,No,Yes,5,2.96,4.91,4,5,5,5,4,3,4,4,4,5,5,5,4.75,3.75,4.75,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R040,H1,Our Tampines Hub,25-34,Single,Chinese,Family user,9,1,No,Yes,4.79,4.13,5,5,3,5,4,5,4,5,4,4,5,4,5,4.25,4.5,4.5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R041,H1,Our Tampines Hub,45-54,Multi-generational,Other,Family user,8,2,No,Yes,3.58,4.39,5,5,5,4,5,5,5,5,5,5,5,5,4,4.75,5,4.75,4.83,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R042,H1,Our Tampines Hub,18-24,Couple,Chinese,Event user,6,1,No,Yes,3.65,5,5,4,4,5,5,4,3,3,3,5,5,5,5,4.5,3.25,5,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R043,H1,Our Tampines Hub,18-24,Senior household,Chinese,Routine user,7,3,No,Yes,3.41,4.02,5,4,5,4,5,5,5,5,5,3,3,3,4,4.5,5,3.25,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R044,H1,Our Tampines Hub,55-64,Senior household,Chinese,Routine user,10,3,No,Yes,5,3.32,5,5,5,4,5,5,4,5,4,5,4,4,4,4.75,4.5,4.25,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R045,H1,Our Tampines Hub,45-54,Family with children,Other,Routine user,5,1,Yes,Yes,3.32,3.68,4.76,5,5,5,5,4,5,3,3,4,5,4,5,5,3.75,4.5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R046,H1,Our Tampines Hub,18-24,Family with children,Other,Routine user,6,2,No,Yes,3.33,3.96,5,5,5,5,5,5,5,5,5,3,4,4,3,5,5,3.5,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R047,H1,Our Tampines Hub,45-54,Family with children,Indian,Event user,12,1,No,No,3.37,5,5,5,5,5,5,3,4,4,4,5,5,4,4,5,3.75,4.5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R048,H1,Our Tampines Hub,35-44,Family with children,Chinese,Service user,5,4,No,No,3.75,3.89,4.91,5,4,4,5,5,5,4,5,4,4,3,3,4.5,4.75,3.5,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R049,H1,Our Tampines Hub,35-44,Multi-generational,Malay,Family user,3,1,No,Yes,4.29,3.4,4.47,4,4,5,4,2,3,2,2,5,5,5,4,4.25,2.25,4.75,3.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R050,H1,Our Tampines Hub,35-44,Couple,Indian,Routine user,9,1,No,Yes,4.02,4.24,5,5,4,5,5,4,4,4,4,5,5,5,5,4.75,4,5,4.58,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R051,H1,Our Tampines Hub,35-44,Couple,Chinese,Service user,8,3,No,Yes,4.63,4.93,4.91,5,4,5,5,4,4,4,4,3,4,3,4,4.75,4,3.5,4.08,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R052,H1,Our Tampines Hub,55-64,Multi-generational,Malay,Service user,6,1,No,Yes,4.22,3.14,5,4,5,5,5,5,5,5,5,5,5,5,4,4.75,5,4.75,4.83,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R053,H1,Our Tampines Hub,65+,Single,Chinese,Family user,8,1,No,No,3.57,4.64,5,5,5,5,5,4,4,3,3,3,5,4,5,5,3.5,4.25,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R054,H1,Our Tampines Hub,45-54,Single,Chinese,Service user,8,1,No,Yes,4.96,4.66,3.23,5,5,5,5,4,4,5,4,4,4,4,4,5,4.25,4,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R055,H1,Our Tampines Hub,35-44,Family with children,Chinese,Routine user,4,4,No,Yes,4.46,4.08,4.84,4,3,4,5,5,4,4,5,3,4,4,4,4,4.5,3.75,4.08,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R056,H1,Our Tampines Hub,65+,Single,Chinese,Event user,7,4,No,Yes,2.26,4.8,5,4,5,5,4,5,4,5,5,4,5,4,4,4.5,4.75,4.25,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R057,H1,Our Tampines Hub,65+,Family with children,Chinese,Routine user,6,2,No,No,3.84,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4.25,4,4.25,4.17,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R058,H1,Our Tampines Hub,65+,Senior household,Indian,Routine user,5,3,Yes,Yes,3.42,4.18,5,4,5,5,5,5,5,5,5,3,4,4,4,4.75,5,3.75,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R059,H1,Our Tampines Hub,25-34,Senior household,Indian,Routine user,7,2,No,No,4.35,4.35,5,5,5,4,5,4,4,5,5,4,4,4,4,4.75,4.5,4,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R060,H1,Our Tampines Hub,45-54,Multi-generational,Chinese,Event user,8,4,No,Yes,3.89,3.54,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R061,H1,Our Tampines Hub,25-34,Multi-generational,Chinese,Service user,5,2,No,Yes,4.48,4.52,5,5,5,5,5,5,4,3,5,4,4,4,4,5,4.25,4,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R062,H1,Our Tampines Hub,25-34,Senior household,Chinese,Senior user,6,4,No,Yes,4.47,3.73,4.53,4,5,5,5,4,4,4,4,4,4,4,4,4.75,4,4,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R063,H1,Our Tampines Hub,65+,Senior household,Chinese,Routine user,8,3,No,Yes,3.68,2.9,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,5,4.67,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R064,H1,Our Tampines Hub,55-64,Family with children,Malay,Routine user,4,1,No,Yes,4.02,2.73,5,4,4,5,4,4,5,4,3,3,4,3,4,4.25,4,3.5,3.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R065,H1,Our Tampines Hub,35-44,Family with children,Indian,Event user,7,4,No,Yes,4.94,3.8,5,5,4,5,5,5,4,4,4,5,5,5,4,4.75,4.25,4.75,4.58,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R066,H1,Our Tampines Hub,18-24,Family with children,Indian,Service user,6,1,No,Yes,4.1,2.86,4.78,5,4,5,5,4,5,4,4,4,3,4,3,4.75,4.25,3.5,4.17,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R067,H1,Our Tampines Hub,55-64,Senior household,Indian,Event user,8,2,No,Yes,3.43,3.88,5,5,5,5,4,3,4,5,3,5,4,5,5,4.75,3.75,4.75,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R068,H1,Our Tampines Hub,65+,Family with children,Chinese,Routine user,3,4,No,Yes,4.13,4.34,5,5,5,5,5,4,4,4,4,3,3,3,3,5,4,3,4,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R069,H1,Our Tampines Hub,65+,Family with children,Chinese,Service user,9,3,No,Yes,4.18,3.78,4.1,5,5,5,5,5,4,5,5,5,5,5,5,5,4.75,5,4.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R070,H1,Our Tampines Hub,25-34,Multi-generational,Chinese,Service user,11,4,No,Yes,4.09,4.88,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.75,4.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R071,H1,Our Tampines Hub,25-34,Multi-generational,Malay,Service user,6,2,No,No,3.57,3.97,3.84,5,5,4,4,4,4,5,4,4,3,4,3,4.5,4.25,3.5,4.08,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R072,H1,Our Tampines Hub,65+,Family with children,Chinese,Service user,7,3,No,Yes,4.58,4.54,5,5,5,5,5,4,5,4,5,4,4,4,4,5,4.5,4,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R073,H1,Our Tampines Hub,55-64,Single,Chinese,Family user,6,4,Yes,Yes,4.02,4.71,5,5,5,5,5,5,5,5,5,3,4,4,4,5,5,3.75,4.58,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R074,H1,Our Tampines Hub,35-44,Family with children,Chinese,Routine user,5,4,Yes,Yes,3.9,5,4.98,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.75,4.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R075,H1,Our Tampines Hub,18-24,Single,Chinese,Routine user,4,1,No,Yes,2.15,4.05,5,5,5,4,5,4,4,4,4,4,4,3,3,4.75,4,3.5,4.08,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R076,H1,Our Tampines Hub,18-24,Couple,Malay,Service user,3,2,No,Yes,4.34,4.35,5,5,5,5,5,3,3,3,3,3,3,4,4,5,3,3.5,3.83,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R077,H1,Our Tampines Hub,45-54,Single,Indian,Service user,9,1,No,No,3.53,5,4.04,5,5,5,5,4,5,5,5,4,5,4,5,5,4.75,4.5,4.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
