respondent_id,hub_id,hub_name,age_group,household_type,ethnicity,user_archetype,visit_frequency_monthly,activity_types_count,recruited_by_volunteer,resident_in_catchment,awareness_of_programmes,perceived_accessibility,perceived_safety,q1_belong_here,q2_people_care,q3_place_attachment,q4_return_intent,q5_meet_diff_groups,q6_cross_group_activities,q7_diverse_interactions,q8_mutual_aid_across_groups,q9_understand_governance,q10_can_raise_concerns,q11_trust_hub_institutions,q12_voice_matters,bonding_score,bridging_score,linking_score,overall_sc_score,hub_type,open_year,years_since_opening,amenity_diversity,integrated_programming_ratio,partner_count,governance_openness,volunteer_density,free_community_space_ratio,outreach_intensity,avg_monthly_footfall_k,avg_dwell_minutes,transit_access,service_gap,heart_score,head_score,hands_score,cci_total
R078,H1,Our Tampines Hub,35-44,Family with children,Chinese,Service user,13,3,No,No,5,4.43,4.95,5,5,5,5,4,4,5,4,5,5,5,5,5,4.25,5,4.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R079,H1,Our Tampines Hub,65+,Single,Malay,Event user,10,3,No,Yes,2.98,4.2,5,5,5,5,5,4,4,5,4,5,4,5,5,5,4.25,4.75,4.67,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R080,H1,Our Tampines Hub,25-34,Couple,Indian,Routine user,4,2,Yes,Yes,5,3.43,5,5,5,5,5,3,3,3,3,5,4,5,5,5,3,4.75,4.25,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R081,H1,Our Tampines Hub,35-44,Couple,Chinese,Family user,11,3,No,No,4.53,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4.75,5,4.25,4.67,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R082,H1,Our Tampines Hub,55-64,Senior household,Chinese,Family user,11,1,Yes,Yes,3.96,4.13,4.1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.75,4.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R083,H1,Our Tampines Hub,25-34,Senior household,Malay,Family user,6,3,No,Yes,3.4,3.41,5,4,4,4,5,5,5,5,5,4,3,4,4,4.25,5,3.75,4.33,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R084,H1,Our Tampines Hub,45-54,Couple,Chinese,Family user,6,3,No,Yes,4.02,3.53,5,5,5,5,5,3,3,4,3,3,4,3,4,5,3.25,3.5,3.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R085,H1,Our Tampines Hub,45-54,Family with children,Malay,Routine user,4,3,No,Yes,4.72,3.11,5,5,5,5,5,5,4,5,5,4,5,4,4,5,4.75,4.25,4.67,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R086,H1,Our Tampines Hub,55-64,Senior household,Chinese,Routine user,4,3,No,Yes,3.8,4.37,5,4,4,5,4,4,5,4,4,4,4,4,4,4.25,4.25,4,4.17,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R087,H1,Our Tampines Hub,25-34,Family with children,Malay,Family user,7,2,Yes,Yes,4.02,5,4.23,5,5,5,5,4,4,4,3,5,5,5,5,5,3.75,5,4.58,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R088,H1,Our Tampines Hub,45-54,Couple,Chinese,Routine user,7,2,No,Yes,5,5,4.22,5,4,4,5,5,4,5,4,5,5,5,4,4.5,4.5,4.75,4.58,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R089,H1,Our Tampines Hub,45-54,Multi-generational,Indian,Family user,7,1,No,No,4.98,4.82,4.29,5,5,5,5,3,4,4,5,3,3,4,4,5,4,3.5,4.17,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R090,H1,Our Tampines Hub,45-54,Single,Chinese,Event user,6,2,No,Yes,3.82,3.28,5,5,5,5,5,2,3,3,3,4,4,3,4,5,2.75,3.75,3.83,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R091,H1,Our Tampines Hub,55-64,Family with children,Chinese,Family user,7,1,Yes,Yes,4.6,4.21,5,5,5,4,4,4,4,4,4,5,4,5,5,4.5,4,4.75,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R092,H1,Our Tampines Hub,18-24,Couple,Malay,Event user,4,1,No,Yes,4.76,4.73,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4.33,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R093,H1,Our Tampines Hub,45-54,Single,Chinese,Family user,5,2,Yes,Yes,3.47,5,5,5,5,5,5,3,4,4,4,5,4,5,4,5,3.75,4.5,4.42,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R094,H1,Our Tampines Hub,55-64,Multi-generational,Malay,Routine user,5,2,No,Yes,4.48,3.09,5,5,5,5,5,5,4,5,5,3,4,4,4,5,4.75,3.75,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R095,H1,Our Tampines Hub,55-64,Family with children,Chinese,Service user,4,4,No,Yes,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.75,4.92,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R096,H1,Our Tampines Hub,45-54,Family with children,Chinese,Event user,10,1,No,Yes,4.65,3.57,5,5,5,5,5,4,4,3,4,5,4,5,5,5,3.75,4.75,4.5,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R097,H1,Our Tampines Hub,45-54,Family with children,Chinese,Routine user,3,3,Yes,Yes,3.3,4.62,5,5,5,5,5,5,5,5,4,4,3,3,3,5,4.75,3.25,4.33,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R098,H1,Our Tampines Hub,25-34,Single,Other,Family user,7,1,No,Yes,3.84,4.31,5,5,4,5,4,4,4,4,5,4,3,4,3,4.5,4.25,3.5,4.08,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R099,H1,Our Tampines Hub,18-24,Family with children,Chinese,Family user,7,4,No,Yes,3.98,4.77,5,5,5,5,4,4,4,5,5,5,5,5,5,4.75,4.5,5,4.75,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R100,H1,Our Tampines Hub,35-44,Family with children,Chinese,Service user,6,2,No,Yes,4.5,4.05,5,5,5,5,5,4,4,4,4,3,3,4,4,5,4,3.5,4.17,Regional,2017,9,82,0.46,15,78,81,0.42,84,310,52,92,35,100,100,100,100
R101,H2,Heartbeat@Bedok,25-34,Single,Indian,Family user,6,3,Yes,No,2.8,3.4,3.11,3,4,2,4,2,3,2,2,2,1,2,2,3.25,2.25,1.75,2.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R102,H2,Heartbeat@Bedok,35-44,Family with children,Chinese,Routine user,5,2,No,No,3.09,4.09,1.84,4,5,4,4,3,3,3,4,2,3,2,3,4.25,3.25,2.5,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R103,H2,Heartbeat@Bedok,55-64,Couple,Chinese,Routine user,13,5,No,Yes,4.25,4.89,2.48,5,4,5,5,4,3,3,2,3,3,4,4,4.75,3,3.5,3.75,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R104,H2,Heartbeat@Bedok,55-64,Family with children,Indian,Family user,3,2,No,Yes,4.3,3.7,3.7,3,3,4,3,3,2,2,3,2,2,2,3,3.25,2.5,2.25,2.67,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R105,H2,Heartbeat@Bedok,25-34,Single,Chinese,Senior user,11,4,Yes,No,2.65,5,3.96,4,5,5,4,4,4,3,4,3,4,4,3,4.5,3.75,3.5,3.92,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R106,H2,Heartbeat@Bedok,25-34,Family with children,Chinese,Family user,8,3,No,Yes,3.11,2.95,3.24,5,4,5,5,3,3,2,3,2,2,3,2,4.75,2.75,2.25,3.25,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R107,H2,Heartbeat@Bedok,18-24,Family with children,Chinese,Service user,9,2,No,No,2.69,2.61,3.71,4,4,4,4,3,4,3,2,3,3,3,3,4,3,3,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R108,H2,Heartbeat@Bedok,35-44,Multi-generational,Chinese,Service user,9,4,No,Yes,5,2,3.37,4,3,4,3,4,3,3,3,4,4,4,3,3.5,3.25,3.75,3.5,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R109,H2,Heartbeat@Bedok,25-34,Couple,Chinese,Event user,6,2,No,No,4.39,5,2.56,3,4,3,4,4,3,3,3,2,3,3,3,3.5,3.25,2.75,3.17,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R110,H2,Heartbeat@Bedok,25-34,Multi-generational,Chinese,Senior user,7,2,Yes,Yes,3.46,3.24,3.49,3,3,3,4,2,2,2,2,3,3,2,2,3.25,2,2.5,2.58,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R111,H2,Heartbeat@Bedok,45-54,Single,Chinese,Event user,8,2,No,Yes,3.96,4.54,2.64,5,4,4,4,4,4,4,4,3,2,2,4,4.25,4,2.75,3.67,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R112,H2,Heartbeat@Bedok,35-44,Couple,Chinese,Family user,7,4,No,Yes,4.08,3.36,3.31,4,5,5,4,3,4,4,3,4,3,4,3,4.5,3.5,3.5,3.83,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R113,H2,Heartbeat@Bedok,55-64,Couple,Chinese,Routine user,8,3,No,No,2.69,5,2.01,4,4,4,5,3,5,4,4,3,2,3,2,4.25,4,2.5,3.58,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R114,H2,Heartbeat@Bedok,45-54,Senior household,Malay,Service user,4,2,No,Yes,4.52,5,3.72,3,3,4,3,2,2,2,2,3,3,4,5,3.25,2,3.75,3,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R115,H2,Heartbeat@Bedok,18-24,Family with children,Chinese,Service user,5,1,Yes,Yes,4.41,3.93,2.51,5,5,4,4,2,3,3,3,3,3,2,3,4.5,2.75,2.75,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R116,H2,Heartbeat@Bedok,55-64,Family with children,Chinese,Routine user,6,5,No,Yes,4.45,5,3.04,4,4,4,4,2,3,3,2,4,3,4,3,4,2.5,3.5,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R117,H2,Heartbeat@Bedok,35-44,Couple,Malay,Service user,4,1,No,Yes,4.53,3.04,3.9,4,3,3,4,2,1,1,2,1,2,2,2,3.5,1.5,1.75,2.25,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R118,H2,Heartbeat@Bedok,65+,Family with children,Chinese,Service user,8,3,No,Yes,2.2,3.15,2.71,5,4,4,4,4,3,3,4,3,3,2,2,4.25,3.5,2.5,3.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R119,H2,Heartbeat@Bedok,25-34,Single,Chinese,Service user,6,3,No,Yes,2.98,4.49,3.3,5,4,4,4,4,3,3,4,3,2,2,3,4.25,3.5,2.5,3.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R120,H2,Heartbeat@Bedok,18-24,Family with children,Indian,Event user,6,2,Yes,Yes,3.91,4.63,3.23,5,5,5,4,3,4,4,3,3,4,3,3,4.75,3.5,3.25,3.83,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R121,H2,Heartbeat@Bedok,18-24,Family with children,Chinese,Routine user,4,3,No,Yes,3.39,4,2.39,4,4,4,4,4,4,3,4,2,2,2,2,4,3.75,2,3.25,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R122,H2,Heartbeat@Bedok,25-34,Family with children,Chinese,Routine user,3,2,No,Yes,3.64,4.22,2.26,5,5,4,5,2,2,3,2,2,3,2,2,4.75,2.25,2.25,3.08,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R123,H2,Heartbeat@Bedok,65+,Couple,Malay,Event user,9,2,No,Yes,3.68,3.87,3.18,4,3,3,3,3,2,2,3,4,3,3,3,3.25,2.5,3.25,3,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R124,H2,Heartbeat@Bedok,55-64,Single,Chinese,Family user,9,2,No,Yes,2.07,3.95,2.9,4,4,4,4,4,5,4,3,3,3,3,3,4,4,3,3.67,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R125,H2,Heartbeat@Bedok,45-54,Multi-generational,Chinese,Family user,6,2,No,Yes,5,3.01,2.95,4,3,4,4,4,2,3,3,2,3,3,3,3.75,3,2.75,3.17,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R126,H2,Heartbeat@Bedok,25-34,Couple,Chinese,Family user,8,5,No,Yes,4.35,3.37,3.44,5,4,5,5,4,3,3,3,4,4,3,3,4.75,3.25,3.5,3.83,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R127,H2,Heartbeat@Bedok,25-34,Couple,Malay,Senior user,9,3,No,Yes,4.34,3.45,2.64,5,5,4,5,4,3,3,3,4,3,3,4,4.75,3.25,3.5,3.83,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R128,H2,Heartbeat@Bedok,45-54,Multi-generational,Indian,Senior user,9,1,No,Yes,3.27,4.6,3.14,4,5,3,5,3,3,2,3,4,4,3,4,4.25,2.75,3.75,3.58,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R129,H2,Heartbeat@Bedok,65+,Multi-generational,Chinese,Event user,7,5,No,Yes,2.73,3.65,2.92,3,3,3,4,4,4,3,4,3,3,2,4,3.25,3.75,3,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R130,H2,Heartbeat@Bedok,35-44,Multi-generational,Chinese,Family user,8,5,No,Yes,3.18,3.75,2.64,4,4,3,4,2,3,4,3,3,3,4,3,3.75,3,3.25,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R131,H2,Heartbeat@Bedok,35-44,Family with children,Malay,Service user,7,5,No,Yes,3.73,3.88,2.22,5,5,4,5,3,4,3,3,2,3,3,3,4.75,3.25,2.75,3.58,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R132,H2,Heartbeat@Bedok,25-34,Couple,Chinese,Family user,4,4,No,Yes,2.91,3.92,2.76,4,4,4,3,5,3,4,4,2,2,3,3,3.75,4,2.5,3.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R133,H2,Heartbeat@Bedok,55-64,Family with children,Chinese,Service user,4,2,Yes,Yes,3.24,3.78,2.62,3,3,3,4,2,3,3,3,3,3,4,3,3.25,2.75,3.25,3.08,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R134,H2,Heartbeat@Bedok,35-44,Single,Chinese,Family user,4,2,No,Yes,2.76,4.85,2.56,4,4,3,4,4,4,4,3,2,2,2,3,3.75,3.75,2.25,3.25,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R135,H2,Heartbeat@Bedok,25-34,Senior household,Chinese,Senior user,8,4,No,Yes,2.96,4.7,3.57,5,4,4,4,3,3,2,3,3,3,3,3,4.25,2.75,3,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R136,H2,Heartbeat@Bedok,35-44,Family with children,Indian,Event user,9,3,No,Yes,4.61,2.88,3.31,4,4,3,4,3,3,3,3,4,4,3,3,3.75,3,3.5,3.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R137,H2,Heartbeat@Bedok,25-34,Couple,Chinese,Routine user,12,2,No,No,4.36,3.48,1.75,5,5,5,5,4,4,4,4,4,4,3,4,5,4,3.75,4.25,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R138,H2,Heartbeat@Bedok,25-34,Single,Chinese,Service user,9,3,No,Yes,5,4.74,2.1,4,4,4,4,5,5,4,5,2,3,2,3,4,4.75,2.5,3.75,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R139,H2,Heartbeat@Bedok,55-64,Couple,Chinese,Event user,9,3,No,Yes,4.03,3.7,2.92,5,4,4,3,3,3,3,3,5,4,4,4,4,3,4.25,3.75,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R140,H2,Heartbeat@Bedok,18-24,Single,Chinese,Family user,3,4,No,Yes,3.5,3.48,4.08,5,4,5,5,3,3,2,3,2,3,3,2,4.75,2.75,2.5,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R141,H2,Heartbeat@Bedok,25-34,Couple,Other,Routine user,10,1,Yes,Yes,2.96,3.99,3.23,5,4,5,4,3,3,2,3,3,3,4,4,4.5,2.75,3.5,3.58,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R142,H2,Heartbeat@Bedok,45-54,Couple,Chinese,Family user,5,3,No,Yes,3.24,3.65,3.35,4,4,4,4,5,4,4,5,2,2,2,1,4,4.5,1.75,3.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R143,H2,Heartbeat@Bedok,55-64,Senior household,Chinese,Family user,5,5,No,Yes,3.5,4.03,2.7,5,4,5,4,4,3,3,3,3,3,3,3,4.5,3.25,3,3.58,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R144,H2,Heartbeat@Bedok,45-54,Senior household,Chinese,Service user,6,3,No,No,3.67,3.83,2.95,3,3,3,3,2,3,3,3,2,4,3,3,3,2.75,3,2.92,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R145,H2,Heartbeat@Bedok,55-64,Family with children,Chinese,Senior user,7,2,Yes,Yes,3.07,3.52,3.23,4,4,4,4,3,2,2,4,3,4,2,4,4,2.75,3.25,3.33,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R146,H2,Heartbeat@Bedok,35-44,Senior household,Indian,Event user,10,2,No,Yes,3.64,3.43,3.25,3,3,3,2,3,3,4,3,3,2,2,3,2.75,3.25,2.5,2.83,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R147,H2,Heartbeat@Bedok,25-34,Senior household,Indian,Event user,10,2,No,Yes,3.48,4.92,3.15,4,4,4,5,3,4,4,4,3,3,4,3,4.25,3.75,3.25,3.75,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R148,H2,Heartbeat@Bedok,35-44,Single,Chinese,Event user,10,3,No,Yes,3.44,3.5,1.95,3,3,4,4,4,2,3,3,3,3,3,3,3.5,3,3,3.17,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R149,H2,Heartbeat@Bedok,45-54,Multi-generational,Chinese,Family user,5,5,No,Yes,4.52,2.79,2.16,4,3,4,4,2,2,3,3,2,2,3,2,3.75,2.5,2.25,2.83,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R150,H2,Heartbeat@Bedok,55-64,Senior household,Indian,Event user,5,2,No,Yes,2.94,4.59,2.49,4,4,4,4,4,4,3,4,2,2,3,3,4,3.75,2.5,3.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R151,H2,Heartbeat@Bedok,45-54,Family with children,Chinese,Routine user,6,2,No,No,3.07,4.09,3.36,5,4,5,5,4,2,3,3,3,3,3,2,4.75,3,2.75,3.5,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R152,H2,Heartbeat@Bedok,25-34,Family with children,Malay,Routine user,6,3,Yes,Yes,3.02,4,2.48,4,4,4,4,3,3,3,2,2,2,3,3,4,2.75,2.5,3.08,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R153,H2,Heartbeat@Bedok,55-64,Senior household,Other,Routine user,9,2,Yes,Yes,3.02,3.82,2.16,3,2,3,2,4,3,4,4,3,3,4,3,2.5,3.75,3.25,3.17,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R154,H2,Heartbeat@Bedok,18-24,Family with children,Indian,Senior user,6,2,Yes,Yes,3.8,2.76,2.75,4,4,4,5,3,3,4,3,2,2,2,3,4.25,3.25,2.25,3.25,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R155,H2,Heartbeat@Bedok,35-44,Family with children,Chinese,Routine user,8,1,No,Yes,3.64,4.13,3.13,5,5,5,5,3,4,3,4,3,4,3,3,5,3.5,3.25,3.92,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R156,H2,Heartbeat@Bedok,65+,Couple,Chinese,Family user,6,3,No,Yes,3.14,2.56,3.06,4,3,4,4,3,3,3,2,2,3,3,3,3.75,2.75,2.75,3.08,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R157,H2,Heartbeat@Bedok,25-34,Couple,Chinese,Routine user,5,1,No,Yes,4.63,2.98,4.28,5,4,5,4,4,4,3,4,4,4,4,4,4.5,3.75,4,4.08,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R158,H2,Heartbeat@Bedok,35-44,Family with children,Chinese,Event user,9,2,Yes,Yes,2.78,4.47,3.92,4,3,4,3,4,4,3,3,3,3,3,4,3.5,3.5,3.25,3.42,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R159,H2,Heartbeat@Bedok,55-64,Single,Other,Senior user,4,4,No,No,2.61,5,2.51,4,4,4,5,4,4,3,3,2,2,2,1,4.25,3.5,1.75,3.17,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
R160,H2,Heartbeat@Bedok,65+,Family with children,Indian,Event user,9,1,Yes,Yes,4.1,3.28,2.95,3,3,4,2,4,4,4,5,3,4,3,4,3,4.25,3.5,3.58,Town,2018,8,74,0.34,11,66,68,0.35,71,220,43,85,42,32,22,18,24
